town,price,year
bay head,1340000.0,2009.0
bay head,2125000.0,2009.0
bay head,850000.0,2009.0
bay head,700000.0,nan
bay head,870000.0,2009.0
bay head,950000.0,2009.0
bay head,2000000.0,2009.0
bay head,5250000.0,2010.0
bay head,2375000.0,2010.0
bay head,2800000.0,2010.0
bay head,1350000.0,2010.0
bay head,686250.0,2010.0
bay head,950000.0,2010.0
bay head,2305000.0,2010.0
bay head,3700000.0,2010.0
bay head,1150000.0,2010.0
bay head,997499.0,2010.0
bay head,1300000.0,2010.0
bay head,863000.0,2010.0
bay head,975000.0,nan
bay head,475000.0,2010.0
bay head,1295000.0,2010.0
bay head,1790000.0,2010.0
bay head,1240000.0,2011.0
bay head,592500.0,2010.0
bay head,830000.0,2010.0
bay head,869000.0,2010.0
bay head,575000.0,2010.0
bay head,1105000.0,2014.0
bay head,967000.0,2010.0
bay head,1480000.0,2010.0
bay head,820500.0,2010.0
bay head,815000.0,2010.0
bay head,1090000.0,2008.0
bay head,1299000.0,2011.0
bay head,1205900.0,2014.0
bay head,1040000.0,2011.0
bay head,975000.0,2011.0
bay head,780000.0,nan
bay head,1925000.0,2010.0
bay head,1300000.0,2010.0
bay head,6500000.0,2012.0
bay head,4000000.0,2012.0
bay head,720000.0,2011.0
bay head,900000.0,2011.0
bay head,863000.0,2011.0
bay head,1850000.0,nan
bay head,861238.0,2012.0
bay head,915000.0,2012.0
bay head,1150000.0,2012.0
bay head,2000000.0,2012.0
bay head,2200000.0,2012.0
bay head,1450000.0,2012.0
bay head,1975000.0,2012.0
bay head,995000.0,2012.0
bay head,975000.0,2012.0
bay head,860000.0,2012.0
bay head,915000.0,2013.0
bay head,1150000.0,2012.0
bay head,675000.0,2012.0
bay head,630000.0,2012.0
bay head,1225000.0,2012.0
bay head,660000.0,2012.0
bay head,1400000.0,2012.0
bay head,500000.0,2013.0
bay head,575000.0,2012.0
bay head,965000.0,2013.0
bay head,995000.0,2012.0
bay head,1125000.0,2012.0
bay head,840000.0,2013.0
bay head,525000.0,2012.0
bay head,950000.0,2013.0
bay head,1208760.0,2013.0
bay head,1900000.0,2013.0
bay head,609500.0,2013.0
bay head,650000.0,nan
bay head,475000.0,2013.0
bay head,1600000.0,2013.0
bay head,1085000.0,2011.0
bay head,775000.0,2013.0
bay head,3350000.0,2013.0
bay head,970000.0,2013.0
bay head,662500.0,2013.0
bay head,850000.0,2013.0
bay head,732500.0,2013.0
bay head,575000.0,2014.0
bay head,999000.0,2013.0
bay head,879000.0,2019.0
bay head,2200000.0,2019.0
bay head,905000.0,2019.0
bay head,2985000.0,2019.0
bay head,660000.0,2021.0
bay head,1450000.0,2020.0
bay head,832500.0,2019.0
bay head,2600000.0,2019.0
bay head,5200000.0,2019.0
bay head,1800000.0,2019.0
bay head,750000.0,2020.0
bay head,850000.0,2020.0
bay head,899000.0,2019.0
bay head,1701810.0,2019.0
bay head,2450000.0,2019.0
bay head,1175000.0,2019.0
bay head,1725000.0,2019.0
bay head,2075000.0,2019.0
bay head,2650000.0,nan
bay head,1305150.0,2019.0
bay head,1125000.0,2019.0
bay head,3152000.0,2014.0
bay head,920000.0,2013.0
bay head,852000.0,2013.0
bay head,2700000.0,2014.0
bay head,772500.0,2013.0
bay head,3000000.0,2019.0
bay head,787805.0,2012.0
bay head,1150000.0,2015.0
bay head,650000.0,2013.0
bay head,625000.0,2012.0
bay head,490000.0,2014.0
bay head,1550000.0,2013.0
bay head,610000.0,2013.0
bay head,1250000.0,2014.0
bay head,952500.0,2014.0
bay head,525000.0,2014.0
bay head,957000.0,2014.0
bay head,2700000.0,2013.0
bay head,625000.0,2014.0
bay head,940000.0,2013.0
bay head,725000.0,2014.0
bay head,999000.0,2013.0
bay head,1725000.0,2013.0
bay head,2800000.0,2014.0
bay head,500000.0,2014.0
bay head,2000000.0,2014.0
bay head,4450000.0,2014.0
bay head,817500.0,2014.0
bay head,673833.0,2014.0
bay head,2000000.0,2014.0
bay head,540000.0,2014.0
bay head,1825000.0,2014.0
bay head,6500000.0,2014.0
bay head,865000.0,2014.0
bay head,1700000.0,2014.0
bay head,965000.0,2014.0
bay head,1142500.0,2014.0
bay head,1800000.0,2015.0
bay head,1389360.0,2014.0
bay head,610000.0,2015.0
bay head,1312000.0,2015.0
bay head,1305000.0,nan
bay head,6990000.0,2015.0
bay head,587500.0,2019.0
bay head,2765000.0,2014.0
bay head,549000.0,2014.0
bay head,1165000.0,2015.0
bay head,617500.0,2015.0
bay head,2675000.0,2015.0
bay head,811000.0,2015.0
bay head,800000.0,2015.0
bay head,552000.0,2015.0
bay head,1575000.0,2015.0
bay head,2600000.0,2015.0
bay head,1775000.0,2015.0
bay head,640000.0,2015.0
bay head,800000.0,2015.0
bay head,3200000.0,2015.0
bay head,850000.0,2015.0
bay head,1125000.0,2015.0
bay head,1650500.0,2015.0
bay head,4400000.0,2016.0
bay head,778000.0,2016.0
bay head,1850000.0,2016.0
bay head,589000.0,2015.0
bay head,1100000.0,2023.0
bay head,1125000.0,2016.0
bay head,2600000.0,2015.0
bay head,590000.0,2016.0
bay head,630000.0,2015.0
bay head,817150.0,nan
bay head,1312500.0,2015.0
bay head,999000.0,nan
bay head,1450000.0,2016.0
bay head,1750000.0,2016.0
bay head,1335000.0,2016.0
bay head,925000.0,2016.0
bay head,3950000.0,2016.0
bay head,745000.0,2019.0
bay head,2500000.0,2019.0
bay head,845000.0,2016.0
bay head,495000.0,2016.0
bay head,1332500.0,2019.0
bay head,1655000.0,2019.0
bay head,1650000.0,2016.0
bay head,3575000.0,2016.0
bay head,725000.0,2016.0
bay head,3550000.0,2016.0
bay head,751000.0,2016.0
bay head,1250000.0,2016.0
bay head,1775000.0,2019.0
bay head,815000.0,2016.0
bay head,1725000.0,2016.0
bay head,757500.0,2017.0
bay head,889000.0,2017.0
bay head,1625000.0,2016.0
bay head,1225000.0,2016.0
bay head,2120000.0,2016.0
bay head,689000.0,2017.0
bay head,2220000.0,2017.0
bay head,690000.0,2016.0
bay head,1363000.0,2017.0
bay head,1090000.0,2016.0
bay head,535000.0,2017.0
bay head,1450000.0,2016.0
bay head,695000.0,2017.0
bay head,920000.0,2017.0
bay head,1270000.0,2016.0
bay head,5700000.0,2017.0
bay head,1437500.0,2017.0
bay head,3195000.0,2017.0
bay head,691000.0,2017.0
bay head,994999.0,2019.0
bay head,899000.0,2019.0
bay head,5925000.0,2019.0
bay head,1720000.0,2018.0
bay head,917000.0,2018.0
bay head,1900000.0,2018.0
bay head,860000.0,2018.0
bay head,1030000.0,2017.0
bay head,1875000.0,2018.0
bay head,3062000.0,2018.0
bay head,1975000.0,nan
bay head,780000.0,2018.0
bay head,1945000.0,2018.0
bay head,1360000.0,2018.0
bay head,1811586.0,2018.0
bay head,3700000.0,2018.0
bay head,640000.0,2018.0
bay head,1375000.0,nan
bay head,628500.0,2018.0
bay head,1215000.0,2018.0
bay head,1895000.0,nan
bay head,1749000.0,2018.0
bay head,800000.0,nan
bay head,521000.0,2018.0
bay head,760000.0,2018.0
bay head,992000.0,2018.0
bay head,955000.0,2018.0
bay head,715000.0,2018.0
bay head,1700000.0,2018.0
bay head,1700000.0,2019.0
bay head,1563000.0,2018.0
bay head,2500000.0,2019.0
bay head,510000.0,2019.0
bay head,4045100.0,2018.0
bay head,875000.0,2019.0
bay head,1100000.0,2019.0
bay head,1288000.0,2019.0
bay head,1150000.0,2019.0
bay head,1700000.0,2019.0
bay head,2320000.0,2018.0
bay head,1475000.0,2019.0
bay head,1900000.0,2018.0
bay head,891000.0,2019.0
bay head,1600000.0,2019.0
bay head,1046500.0,2019.0
bay head,1122500.0,2019.0
bay head,1050000.0,2019.0
bay head,1850000.0,2019.0
bay head,750000.0,2019.0
bay head,1500000.0,2019.0
bay head,875000.0,2019.0
bay head,2250000.0,2020.0
bay head,1540000.0,2020.0
bay head,1500000.0,2020.0
bay head,852500.0,2020.0
bay head,1400000.0,2020.0
bay head,840000.0,2020.0
bay head,1450000.0,2020.0
bay head,1081816.0,2020.0
bay head,875000.0,2020.0
bay head,1157000.0,2020.0
bay head,2400000.0,2020.0
bay head,550000.0,2020.0
bay head,2975000.0,2022.0
bay head,1275000.0,2020.0
bay head,1575000.0,2020.0
bay head,635000.0,2020.0
bay head,4100000.0,2020.0
bay head,2150000.0,2020.0
bay head,1425000.0,2020.0
bay head,9840000.0,2020.0
bay head,1705000.0,2020.0
bay head,995000.0,2020.0
bay head,1480000.0,2020.0
bay head,2450000.0,2020.0
bay head,782500.0,2020.0
bay head,1850000.0,nan
bay head,1500000.0,2021.0
bay head,2550000.0,2020.0
bay head,1150000.0,2020.0
bay head,659000.0,2021.0
bay head,1900000.0,2020.0
bay head,1150000.0,nan
bay head,1529825.0,2021.0
bay head,2362500.0,2021.0
bay head,1650000.0,2021.0
bay head,2580000.0,2021.0
bay head,2775000.0,2021.0
bay head,6470000.0,2021.0
bay head,1125000.0,2021.0
bay head,995000.0,2021.0
bay head,4100000.0,2021.0
bay head,2125000.0,2021.0
bay head,2244370.0,2021.0
bay head,2300000.0,2021.0
bay head,1900000.0,2021.0
bay head,1699000.0,2021.0
bay head,1450000.0,2022.0
bay head,2160000.0,2022.0
bay head,8750000.0,2022.0
bay head,4500000.0,2021.0
bay head,3950000.0,2022.0
bay head,2035000.0,2021.0
bay head,1250000.0,2022.0
bay head,2325000.0,2022.0
bay head,3050000.0,2022.0
bay head,2887500.0,2022.0
bay head,10000000.0,2022.0
bay head,10000000.0,2022.0
bay head,2635000.0,2022.0
bay head,1300000.0,2022.0
bay head,2150000.0,2022.0
bay head,4220000.0,2022.0
bay head,1099999.0,2022.0
bay head,1775000.0,2022.0
bay head,4000000.0,2022.0
bay head,2200000.0,2023.0
bay head,6612323.08,2022.0
bay head,2090000.0,2022.0
bay head,4150000.0,2022.0
bay head,9600000.0,2023.0
bay head,1652000.0,2022.0
bay head,2412500.0,nan
bay head,1350000.0,2023.0
bay head,975000.0,2023.0
bay head,2725000.0,2023.0
bay head,1210000.0,2023.0
bay head,3300000.0,2023.0
bay head,1735000.0,2023.0
bay head,1100000.0,2023.0
bay head,2750000.0,2023.0
bay head,1725000.0,2023.0
bay head,960000.0,2023.0
bay head,1100000.0,2023.0
bay head,1990000.0,2023.0
bay head,1300000.0,2024.0
bay head,6100000.0,2024.0
bay head,2875000.0,2024.0
seaside park,840000.0,2017.0
seaside park,980000.0,2016.0
seaside park,910000.0,nan
seaside park,850000.0,2016.0
seaside park,640000.0,nan
seaside park,1549000.0,2019.0
seaside park,517000.0,2019.0
seaside park,540000.0,2023.0
seaside park,535000.0,2017.0
seaside park,830000.0,2017.0
seaside park,519000.0,2017.0
seaside park,532500.0,2018.0
seaside park,711000.0,2018.0
seaside park,625000.0,nan
seaside park,1650000.0,2018.0
seaside park,840000.0,2017.0
seaside park,650000.0,2017.0
seaside park,830000.0,2018.0
seaside park,500000.0,2017.0
seaside park,640000.0,nan
seaside park,750000.0,2010.0
seaside park,720000.0,nan
seaside park,605000.0,1.0
seaside park,565000.0,nan
seaside park,610000.0,2010.0
seaside park,2500000.0,2020.0
seaside park,780000.0,2008.0
seaside park,940000.0,2008.0
seaside park,627500.0,2009.0
seaside park,1500000.0,2009.0
seaside park,999000.0,2008.0
seaside park,580000.0,2008.0
seaside park,550000.0,2009.0
seaside park,1239000.0,2008.0
seaside park,865000.0,2009.0
seaside park,650000.0,2009.0
seaside park,485000.0,2009.0
seaside park,753000.0,2009.0
seaside park,1350000.0,2009.0
seaside park,515000.0,nan
seaside park,520000.0,2009.0
seaside park,570000.0,2009.0
seaside park,1280000.0,2009.0
seaside park,1490000.0,2009.0
seaside park,585000.0,nan
seaside park,1130000.0,2009.0
seaside park,599000.0,2009.0
seaside park,495000.0,2009.0
seaside park,787500.0,2013.0
seaside park,524500.0,2010.0
seaside park,630000.0,2011.0
seaside park,1070000.0,2009.0
seaside park,795000.0,2011.0
seaside park,1120000.0,2009.0
seaside park,1175000.0,2010.0
seaside park,1912500.0,2010.0
seaside park,1115000.0,nan
seaside park,562500.0,2010.0
seaside park,525000.0,2010.0
seaside park,551000.0,2010.0
seaside park,640000.0,2020.0
seaside park,489000.0,2010.0
seaside park,999000.0,2010.0
seaside park,535000.0,2010.0
seaside park,600000.0,2010.0
seaside park,675000.0,2011.0
seaside park,1475000.0,2011.0
seaside park,540000.0,nan
seaside park,520000.0,2010.0
seaside park,1775000.0,nan
seaside park,610000.0,2011.0
seaside park,499900.0,nan
seaside park,675000.0,2010.0
seaside park,1825000.0,2010.0
seaside park,550000.0,2011.0
seaside park,1700000.0,2011.0
seaside park,710000.0,2010.0
seaside park,740000.0,2010.0
seaside park,822500.0,2010.0
seaside park,2217688.0,2011.0
seaside park,480000.0,2011.0
seaside park,550000.0,2011.0
seaside park,1200000.0,nan
seaside park,700000.0,2011.0
seaside park,550000.0,2011.0
seaside park,1900000.0,2011.0
seaside park,500000.0,2012.0
seaside park,600000.0,2012.0
seaside park,699000.0,2012.0
seaside park,685000.0,2012.0
seaside park,500000.0,2012.0
seaside park,575000.0,2015.0
seaside park,670000.0,nan
seaside park,1400000.0,2012.0
seaside park,683500.0,2012.0
seaside park,575000.0,2012.0
seaside park,690000.0,2012.0
seaside park,1323000.0,2012.0
seaside park,625000.0,2013.0
seaside park,987000.0,nan
seaside park,580000.0,2013.0
seaside park,855000.0,2013.0
seaside park,597500.0,2012.0
seaside park,785000.0,2013.0
seaside park,1100000.0,2013.0
seaside park,590000.0,2019.0
seaside park,530007.0,2019.0
